    rekon_id  sap_id                                  norm_rekon                             norm_sap
70       453    8546    5dprjbrpt3140040504957kepolisianripantai   5dprjbrpt3140040504957kepolisianri
71       454    8133    5dprjbrpt3140040578642kepolisianriparkir   5dprjbrpt3140040578642kepolisianri
72       454    8546    5dprjbrpt3140040578642kepolisianriparkir   5dprjbrpt3140040504957kepolisianri
73       455    7319              5dprjbrpt3544390250daniwahyudi       5dprjbrpt3544390250daniwahyudi
74       456    7062    5dprjbrpt3jayapertiwitamangriyaresidence    5dprjbrpt3jayapertiwitamangriyare
75       482    9621     5dprklmpt31000637085yayasanliterasianak  5dprklmpt31000637085yayasanliterasi
76       483    8193      5dprklmpt31000835397universitasterbuka  5dprklmpt31000835397universitasterb
77       484    9622             5dprklmpt3140065285008pujamulia      5dprklmpt3140065285008pujamulia
78       485    7320          5dprklmpt3544209460inyomandarmawan   5dprklmpt3544209460inyomandarmawan
79       486    7570      5dprklmpt3nodebfronthauldpr246toepo160     5dprklmpt3nodebfronthauldpr246to
80       512    8211   5dprklmsaupt3dualhommingfakultaswarmadewa    5dprklmsaupt3dualhommingfakultasw
81       513    9617         5dprkut10000250058villalatitudebali  5dprkut10000250058villalatitudebali
82       518    9614              5dprkutpt21000291893cv.baliayu       5dprkutpt21000291893cv.baliayu
83       520    9612        5dprkutpt31000292805igaaexclusivekos   5dprkutpt31000292805igaaexclusivek
84       522    9609        5dprkutpt3136363356951ptangkasapurai    5dprkutpt3136363356951ptangkasapu
85       523    8317               5dprkutpt3nodebmgw741edenkuta        5dprkutpt3nodebmgw741edenkuta
86       536    9610        5dprmmnpt31000383013smapgri2denpasar    5dprmmnpt31000383013smapgri2denpa
87       537    7784             5dprmmnpt3543135185rinamarliani      5dprmmnpt3543135185rinamarliani
88       546    9611       5dprndapt3139805814463bankjabarbanten    5dprndapt3139805814463bankjabarba
89       547    6782                    5dprndapt3cendanavillage             5dprndapt3cendanavillage
90       558    9613         5dprsaupt31000211072pt.rajawaliduta   5dprsaupt31000211072pt.rajawalidut
91       560    7571          5dprsaupt3nodebrelocdpr764bilokgik     5dprsaupt3nodebrelocdpr764bilokg
92       561    8265                    5dprsaupt3reynand'shouse             5dprsaupt3reynand'shouse
93       571    9618           5dprsmypt3140061511997pemprovbali    5dprsmypt3140061511997pemprovbali
94       591    7530           5dprswipt2544380883ikadekdarmawan    5dprswipt3544320584nikadekmariani
95       593    7534             5dprswipt3544285846vickojonanda      5dprswipt3544285846vickojonanda
96       594    7529        5dprswipt3544306414ninengahsriariani    5dprswipt3544306414ninengahsriari
97       595    7530           5dprswipt3544320584nikadekmariani    5dprswipt3544320584nikadekmariani
98       596    7531           5dprswipt3544332487niwayanbodiani    5dprswipt3544332487niwayanbodiani
99       597    7532            5dprswipt3544378131niputumutiara     5dprswipt3544378131niputumutiara
